path,filename,filter,prediction,cv2 time,prediction time,words,wer,cer,wil,wip,mer,fluxo
/content/crop_craft-images/CNH_Frente,res_00003604_in_01.jpg,original,{RE2OGECà],,0.02708888053894043, REPUBLICA,1.0,0.8888888888888888,1.0,0.0,1.0,OpenCV[todos preproc] -> EASYOCR
/content/crop_craft-images/CNH_Frente,res_00003604_in_01.jpg,image_full_gray,R2202sca,3.218650817871094e-05,0.022098779678344727, REPUBLICA,1.0,0.8888888888888888,1.0,0.0,1.0,OpenCV[todos preproc] -> EASYOCR
/content/crop_craft-images/CNH_Frente,res_00003604_in_01.jpg,limiarização_de_otsu,REFTGG ch,1.9788742065429688e-05,0.022273540496826172, REPUBLICA,2.0,0.7777777777777778,1.0,0.0,1.0,OpenCV[todos preproc] -> EASYOCR
/content/crop_craft-images/CNH_Frente,res_00003604_in_01.jpg,limiarização_binária,202t648224,3.814697265625e-06,0.04517626762390137, REPUBLICA,1.0,1.1111111111111112,1.0,0.0,1.0,OpenCV[todos preproc] -> EASYOCR
/content/crop_craft-images/CNH_Frente,res_00003604_in_01.jpg,bilateral,Kaca,0.0010216236114501953,0.046842098236083984, REPUBLICA,1.0,1.0,1.0,0.0,1.0,OpenCV[todos preproc] -> EASYOCR
/content/crop_craft-images/CNH_Frente,res_00003604_in_02.jpg,original,FEUEEAITAI,,0.1017618179321289, FEDERATIVA,1.0,0.5,1.0,0.0,1.0,OpenCV[todos preproc] -> EASYOCR
/content/crop_craft-images/CNH_Frente,res_00003604_in_02.jpg,image_full_gray,ÉsbEGAIAAI,2.2649765014648438e-05,0.02400517463684082, FEDERATIVA,1.0,0.7,1.0,0.0,1.0,OpenCV[todos preproc] -> EASYOCR
/content/crop_craft-images/CNH_Frente,res_00003604_in_02.jpg,limiarização_de_otsu,FÊTERATTTu9,2.0503997802734375e-05,0.023449182510375977, FEDERATIVA,1.0,0.6,1.0,0.0,1.0,OpenCV[todos preproc] -> EASYOCR
/content/crop_craft-images/CNH_Frente,res_00003604_in_02.jpg,limiarização_binária,tiueasinf,4.291534423828125e-06,0.021351337432861328, FEDERATIVA,1.0,1.0,1.0,0.0,1.0,OpenCV[todos preproc] -> EASYOCR
/content/crop_craft-images/CNH_Frente,res_00003604_in_02.jpg,bilateral,Zo,0.001035928726196289,0.022450923919677734, FEDERATIVA,1.0,1.0,1.0,0.0,1.0,OpenCV[todos preproc] -> EASYOCR
/content/crop_craft-images/CNH_Frente,res_00003604_in_03.jpg,original,Dú,,0.11251616477966309, DO,1.0,0.5,1.0,0.0,1.0,OpenCV[todos preproc] -> EASYOCR
